subjectsID,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Group,,,LowFat,LowFat,LowFat,LowFat,HighFatAdLibitum,HighFatAdLibitum,HighFatAdLibitum,HighFatAdLibitum,Early_TRF,Early_TRF,Early_TRF,Early_TRF,Late_TRF,Late_TRF,Late_TRF,Late_TRF
Date_Time_1,Expriments Times,DarkLight,,,,,,,,,,,,,,,,
2022-03-20 10:58:25,2022-03-20 02:58:25,light,0.797713,0.6268194,0.5526267,0.6883205,0.7205885,0.7190781,0.4558031,0.8337268,0.6016749,0.4596573,0.556027,0.5823992,0.6406904,0.6549605,0.6070191,0.4471305
2022-03-20 11:03:25,2022-03-20 03:03:25,light,0.8208643,0.7066544,0.5734528,0.7473119,0.7735513,0.7377466,0.448149,0.8750352,0.6418226,0.5834147,0.694079,0.7681002,0.7622819,0.7896267,0.6669229,0.6178957
2022-03-20 11:08:25,2022-03-20 03:08:25,light,0.8247618,0.6835572,0.6257378,0.717867,0.8300352,0.8170527,0.5187994,0.8054491,0.688197,0.5806632,0.7554583,0.7985165,0.8952683,0.8102076,0.6680807,0.7165269
2022-03-20 11:13:25,2022-03-20 03:13:25,light,0.8439737,0.6354635,0.66796,0.7154519,0.6898225,0.770525,0.5309774,0.7696212,0.6282696,0.6232409,0.7087154,0.7293002,0.8143421,0.7660754,0.7825285,0.6357474
2022-03-20 11:18:25,2022-03-20 03:18:25,light,0.8087575,0.6328096,0.6877852,0.6684207,0.84176,0.8132883,0.5187222,0.7413199,0.6684933,0.5716755,0.7422348,0.7066697,0.6999807,0.6809005,0.7014121,0.6317137
2022-03-20 11:23:25,2022-03-20 03:23:25,light,0.9236844,0.6901903,0.7109674,0.7244972,0.7602015,0.7541645,0.5262123,0.696465,0.7573082,0.5915597,0.7250316,0.6955607,0.6835548,0.6868215,0.7349087,0.6387724
2022-03-20 11:28:25,2022-03-20 03:28:25,light,0.8820032,0.6321428,0.5494193,0.670321,0.8075106,0.7008547,0.6041561,0.7006342,0.581131,0.6201695,0.6846614,0.6605847,0.6523628,0.715903,0.7060581,0.7071545
2022-03-20 11:33:25,2022-03-20 03:33:25,light,0.7337624,0.6075601,0.5420143,0.7185403,0.8396156,0.8046826,0.6081694,0.7085313,0.5388156,0.5659249,0.5651997,0.5867051,0.5925641,0.6575659,0.6388829,0.5791022
2022-03-20 11:38:25,2022-03-20 03:38:25,light,0.7389325,0.6763806,0.5633174,0.6882282,0.6819487,0.7725197,0.5868835,0.6653113,0.6971535,0.5741929,0.5868304,0.5713018,0.7382535,0.6882627,0.6917889,0.5998937
2022-03-20 11:43:25,2022-03-20 03:43:25,light,0.752134,0.5980943,0.6181723,0.620168,0.6564993,0.6371606,0.6039243,0.5816144,0.6603231,0.5916832,0.725243,0.5743685,0.8174627,0.6386963,0.6167672,0.6091439
2022-03-20 11:48:25,2022-03-20 03:48:25,light,0.7337397,0.5726557,0.5605502,0.6943004,0.7958633,0.6680582,0.4864321,0.5517582,0.5629783,0.5397988,0.6836435,0.6062208,0.6836323,0.5846415,0.5488421,0.5555528
2022-03-20 11:53:25,2022-03-20 03:53:25,light,0.6646684,0.6342674,0.5721645,0.6170125,0.7709846,0.8975956,0.5103236,0.5159193,0.6126742,0.5368989,0.6845635,0.7177455,0.519011,0.7219918,0.5160075,0.5321202
2022-03-20 11:58:25,2022-03-20 03:58:25,light,0.6668262,0.6552066,0.6196882,0.5887384,0.8036737,0.7500441,0.4060204,0.5468224,0.5654844,0.6367536,0.7897891,0.5822821,0.5407388,0.6013017,0.5364661,0.5267012
2022-03-20 12:03:25,2022-03-20 04:03:25,light,0.7000415,0.6445172,0.5077835,0.6425174,0.6184797,0.7107097,0.4459229,0.6055318,0.5643297,0.7007637,0.6312522,0.5006518,0.5833284,0.520237,0.5182231,0.5250784
2022-03-20 12:08:25,2022-03-20 04:08:25,light,0.6773276,0.5956385,0.3867386,0.6037468,0.6271678,0.6297767,0.3773862,0.6414472,0.4502516,0.6425083,0.6361258,0.5920746,0.5371855,0.5658904,0.5279678,0.5607093
2022-03-20 12:13:25,2022-03-20 04:13:25,light,0.6944142,0.5716056,0.5196629,0.5329643,0.5680162,0.5956119,0.3654478,0.646731,0.4170376,0.5315394,0.6643716,0.5217522,0.4674954,0.5318433,0.5360249,0.537317
2022-03-20 12:18:25,2022-03-20 04:18:25,light,0.7026375,0.5564802,0.515099,0.4401283,0.6314934,0.626389,0.3914117,0.6131091,0.4192704,0.533876,0.5512124,0.5002188,0.4761767,0.5144544,0.6840984,0.6845554
2022-03-20 12:23:25,2022-03-20 04:23:25,light,0.6046194,0.5626969,0.4311879,0.4779566,0.5721214,0.6655824,0.3788587,0.6671754,0.4756067,0.5741664,0.5017828,0.5305963,0.5208839,0.5248592,0.8009799,0.756816
2022-03-20 12:28:25,2022-03-20 04:28:25,light,0.593463,0.6758974,0.4669612,0.4902593,0.5727904,0.6444867,0.3275279,0.7841423,0.4903168,0.5213575,0.4497119,0.5536519,0.4859987,0.5207516,0.6643623,0.6748993
2022-03-20 12:33:25,2022-03-20 04:33:25,light,0.584834,0.7872668,0.4151642,0.4873697,0.5727576,0.6487764,0.5028974,0.7252024,0.5370017,0.4731568,0.6219417,0.4670015,0.4909381,0.5925042,0.6477853,0.6688636
2022-03-20 12:38:25,2022-03-20 04:38:25,light,0.5261927,0.6579937,0.4133475,0.4272509,0.622314,0.6059973,0.4175203,0.7042934,0.4953925,0.4778613,0.716453,0.4930778,0.4695645,0.6865674,0.5963497,0.6500919
