Date_Time_1,subjectID,Group,actual_allmeters,actual_foodupa,actual_pedmeters,actual_waterupa,bodymass,bodytemp,envirolightlux,envirooccupancy,envirorh,envirosound,envirotemp,kcal_hr,rq,si13c,vco2,vh2o,vo2,xbreak,ybreak,zbreak
03/20/2022 13:00:01,6,HighFatAdLibitum,4.148460000000001,0.19856200000000002,3.0275309999999998,0.04723795,42.65762,-1.0,,,,,,0.6463433,0.7864064,-1.0,1.761847,0.4190475,2.238971,120.0,164.0,0.0
03/20/2022 13:00:01,7,HighFatAdLibitum,7.73165,0.0221011,5.093282,0.010946979999999995,39.09959,-1.0,,,,,,0.375354,0.7432479,-1.0,0.979452,0.2692951,1.312516,19.0,39.0,0.0
03/20/2022 13:00:01,8,HighFatAdLibitum,5.482391,0.210262205,3.4810242000000002,0.06569169,25.27183,-1.0,,,,,,0.6136004,0.7686434,-1.0,1.642121,0.3450578,2.1341,241.0,317.0,0.0
03/20/2022 13:00:01,9,Early_TRF,4.729240999999999,0.1699876,2.7781230000000003,0.05271183,33.14748,-1.0,,,,,,0.5806928,0.7692397,-1.0,1.556138,0.3479103,2.019062,955.0,988.0,0.0
03/20/2022 14:00:01,1,LowFat,14.302840000000002,0.4367849,12.088579999999999,0.3245717,31.87322,-1.0,,,,,,0.6849269,0.924298,-1.0,2.122607,0.3314399,2.3009,821.0,989.0,0.0
03/20/2022 14:00:01,10,Early_TRF,6.632708999999999,0.01929279,5.150675999999999,0.001473873,34.54851,-1.0,,,,,,0.5568516,0.7396001,-1.0,1.444432,0.2953557,1.949586,752.0,720.0,0.0
03/20/2022 14:00:01,11,Early_TRF,2.930530000000001,0.00480179,1.8561599999999991,0.0,36.51361,-1.0,,,,,,0.5201289,0.7360221,-1.0,1.344598,0.358026,1.822302,120.0,186.0,0.0
03/20/2022 14:00:01,12,Early_TRF,4.006244,0.008114620000000001,2.0530129999999995,0.0120268,15.86967,-1.0,,,,,,0.546137,0.7326075,-1.0,1.406905,0.2525861,1.914805,650.0,679.0,0.0
03/20/2022 14:00:01,13,Late_TRF,7.581389999999999,0.01047832,4.857980000000001,0.0,31.15523,-1.0,,,,,,0.5143716,0.7654433,-1.0,1.376854,0.3421887,1.788901,245.0,249.0,0.0
03/20/2022 14:00:01,14,Late_TRF,0.6459570000000001,0.0,0.5435020000000002,0.00027669299999999995,34.79504,-1.0,,,,,,0.5089672,0.7461745,-1.0,1.327905,0.333702,1.779783,0.0,0.0,0.0
